of_list;of_pen_list;rr_round_list;of_val_list;RMSE_val_list;Var7
324.9188004;324.9188012;17;236.7312567;21.75919377;10479
312.5851025;312.5851033;18;235.6949646;21.71151605;10479
311.1054237;311.1054245;18;235.4142285;21.69858191;10479
311.0041139;311.0041147;18;235.2638609;21.69165097;10479
310.9858396;310.9858407;79;235.2512404;21.69106915;10479
316.9042131;316.9042139;19;234.6876261;21.66506987;10479
310.9439217;310.9439228;35;235.0262831;21.6806957;10479
314.636265;314.6362658;19;234.0432429;21.63530647;10479
310.7640065;310.7640078;195;234.4443114;21.65383621;10479
322.7903233;322.7903242;19;235.729384;21.7131013;10479
310.8955595;310.8955603;19;234.2160103;21.64329043;10479
310.8152353;310.8152361;19;233.9041883;21.6288783;10479
310.7733559;310.7733567;20;233.8728578;21.62742971;10479
310.213559;310.2135599;21;231.5456384;21.51955568;10479
310.0453381;310.0453389;21;230.8529076;21.48734081;10479
309.9816403;309.9816414;82;230.6425705;21.4775497;10479
315.777817;315.7778178;21;231.408167;21.51316653;10479
309.9604138;309.9604146;21;230.5893189;21.47507015;10479
309.8040034;309.8040043;23;229.8785588;21.44194761;10479
309.6119353;309.6119361;23;229.1145579;21.40628683;10479
309.5804661;309.5804669;23;228.965572;21.39932578;10479
309.4847833;309.4847841;23;228.5282509;21.37887981;10479
309.4381752;309.4381762;52397;228.4655714;21.37594776;10479
331.9046082;331.904609;0;238.0021366;21.81752216;10479
311.3733228;311.3733237;0;233.2231531;21.59736804;10479
311.3211729;311.3211738;0;233.0620592;21.58990779;10479
311.2281904;311.2281912;0;232.8252973;21.57893868;10479
311.1815122;311.1815131;1;232.7386616;21.57492348;10479
310.9553123;310.9553132;2;231.647228;21.52427597;10479
310.8716459;310.8716468;2;231.4399446;21.5146436;10479
310.8495741;310.849575;2;231.4542953;21.51531061;10479
310.8251322;310.8251331;2;231.4899906;21.51696961;10479
310.6837866;310.6837874;2;231.0716292;21.4975175;10479
310.6433226;310.6433235;3;230.9784153;21.49318103;10479
310.3854062;310.385407;4;230.1681744;21.45545033;10479
310.2885057;310.2885066;4;229.9991348;21.44757025;10479
310.2746033;310.2746041;5;229.9722515;21.44631677;10479
310.1397563;310.1397576;52064;229.8557755;21.44088503;10479
326.6783188;326.6783197;5;234.7504401;21.66796899;10479
310.1054467;310.1054478;51;229.9575797;21.44563264;10479
314.346462;314.3464629;7;230.569424;21.47414371;10479
310.0240537;310.0240546;7;229.6366382;21.43066206;10479
309.9389159;309.9389167;8;229.3204804;21.41590439;10479
309.1245842;309.1245851;10;229.090594;21.40516732;10479
308.9914352;308.9914364;158;228.5046123;21.37777408;10479
319.3642782;319.364279;11;231.8815555;21.53515988;10479
309.092407;309.0924083;1604;228.0537217;21.35667211;10479
324.3301324;324.3301332;11;233.711364;21.61996133;10479
309.2206266;309.2206275;13;228.0818214;21.3579878;10479
309.060893;309.0608938;16;227.40973;21.32649667;10479
308.4237453;308.4237462;38;225.1848335;21.22191478;10479
309.0795467;309.0795475;17;225.4028197;21.23218405;10479
308.292547;308.2925479;18;224.9901903;21.212741;10479
308.2342875;308.2342887;141;224.9614058;21.21138401;10479
317.4104014;317.4104022;19;229.0589367;21.40368831;10479
308.2313653;308.2314072;19;224.949179;21.21080757;10479
308.1302284;308.1302703;19;224.59462;21.19408502;10479
308.1045872;308.1046291;20;224.541382;21.19157295;10479
307.6199159;307.6199578;21;224.4121029;21.18547157;10479
307.481003;307.4810449;21;224.3420704;21.18216563;10479
307.4110212;307.4110631;22;224.0499812;21.16837175;10479
307.3455459;307.3455879;23;224.0021016;21.16610978;10479
307.263417;307.2634589;24;223.6770651;21.15074774;10479
305.3930665;305.3931084;25;223.9309733;21.16274903;10479
305.103728;305.1037699;25;222.8581752;21.11199541;10479
304.9751621;304.9752041;26;222.3782117;21.089249;10479
304.9568626;304.9569045;26;222.3027623;21.08567107;10479
304.9466254;304.9466673;26;222.3215387;21.08656154;10479
304.9007445;304.9007865;26;222.2063355;21.08109748;10479
304.8525743;304.8526163;26;222.1324063;21.07759029;10479
304.8165246;304.8165665;29;222.0096422;21.0717651;10479
304.3507555;304.3508207;451;220.2216037;20.98673884;10479
318.7774451;318.777487;29;229.0010315;21.40098276;10479
305.4562311;305.456273;30;221.2593577;21.03612881;10479
305.4397625;305.4398044;30;221.2245568;21.03447441;10479
