of_list;of_pen_list;rr_round_list;of_val_list;RMSE_val_list;MAPE_val_list;Var7
336.346619556364;336.346620656032;27;245.455098554138;22.1564933396121;Inf;15719
329.253250405337;329.253251504969;27;245.505328780899;22.1587602893708;Inf;15719
328.47082920348;328.470830303096;28;244.996442816179;22.1357829234106;Inf;15719
328.311745132112;328.31174623169;29;244.999053063022;22.1359008428852;Inf;15719
327.791563915998;327.791565015542;30;244.43836071981;22.1105567871915;Inf;15719
327.192020723331;327.192021822814;31;243.77248727652;22.0804206154013;Inf;15719
325.183135270428;325.183136369887;32;244.430800371271;22.1102148506645;Inf;15719
324.840920894461;324.840921993835;33;244.304175730448;22.1044871340842;Inf;15719
322.838886193612;322.838887292966;33;241.562253379695;21.9800934201698;Inf;15719
322.427291878635;322.427292977979;33;241.460381935611;21.9754582175485;Inf;15719
322.284327098959;322.284328198265;36;241.485867870911;21.9766179322894;Inf;15719
321.688429460766;321.688430560046;36;241.004399196558;21.9546987770982;Inf;15719
321.485615911439;321.485617010698;37;240.841677757225;21.9472858348009;Inf;15719
321.138108275576;321.138109374826;37;240.583265698431;21.9355084599574;Inf;15719
321.052892003418;321.052893102606;39;240.621198443533;21.9372376767693;Inf;15719
319.396264268739;319.396265367907;40;239.423829789765;21.8825880457392;Inf;15719
319.219442561815;319.219443660882;42;239.394874463743;21.8812647926825;Inf;15719
317.467806901776;317.467808000832;42;237.410687136068;21.790396377123;Inf;15719
317.218546920395;317.218547043465;52397;237.411849006312;21.7904496973473;Inf;15719
343.169550608879;343.169550608879;52397;245.026107355241;22.1371229998499;Inf;15719
