of_list;of_round_list;rr_round_list;of_val_list;of_round_val_list;RMSE_val_list;RMSE_round_val_list;MAPE_val_list;MAPE_round_val_list;Var10
359.048822982907;46312.2415208812;7;254.312681952295;45852.7478846166;22.5527240905526;302.829152773033;Inf;Inf;10479
356.639087083569;34797.7117471836;12;254.438385795136;34596.41439208;22.558297178428;263.045297970065;Inf;Inf;10479
354.532397584164;30060.0499109659;15;252.407314536455;30256.6701004546;22.4680802266885;245.994593844883;Inf;Inf;10479
352.860026098671;30263.7288306572;16;251.755213623305;30455.4741236251;22.4390380196347;246.801434856547;Inf;Inf;10479
351.409869417674;43609.3960641228;17;251.51014588262;44003.3364649115;22.42811386999;296.659186491541;Inf;Inf;10479
350.172857554008;43609.3960641228;17;251.04415395098;44003.3364649115;22.407327103025;296.659186491541;Inf;Inf;10479
346.473470057942;43609.3960641228;17;250.015466109908;44003.3364649115;22.3613714297629;296.659186491541;Inf;Inf;10479
344.439321902727;43609.3960641228;17;249.482164690126;44003.3364649115;22.3375094712963;296.659186491541;Inf;Inf;10479
343.667096522477;43609.3960641228;17;249.323135748371;44003.3364649115;22.3303889687739;296.659186491541;Inf;Inf;10479
342.708278502002;43637.614925709;18;249.293308658577;44063.4602569086;22.3290532113915;296.861786887126;Inf;Inf;10479
341.990772850289;43637.614925709;18;249.152738067845;44063.4602569086;22.3227569116292;296.861786887126;Inf;Inf;10479
340.5249129374;34631.4377944659;21;248.60919546362;34293.1875045057;22.2983943576043;261.89000555388;Inf;Inf;10479
339.335284780362;25206.6509089254;23;248.277192381751;24926.0601466906;22.2835002807795;223.275883815027;Inf;Inf;10479
337.193509089301;25206.6509089254;23;247.00576985776;24926.0601466906;22.2263703675503;223.275883815027;Inf;Inf;10479
336.731831974812;25206.6509089254;23;246.857430965495;24926.0601466906;22.2196953608953;223.275883815027;Inf;Inf;10479
335.911914482293;25423.128819487;25;247.004452347499;25141.7595582943;22.2263110905746;224.239869596351;Inf;Inf;10479
335.141331804779;25451.0610253877;26;246.571013610634;25164.6412228781;22.2068013730314;224.341887407939;Inf;Inf;10479
330.383388819376;24173.7293392236;27;245.144030663875;23939.7772361902;22.1424493073316;218.813972296973;Inf;Inf;10479
330.059454793513;24173.7293392236;27;244.910011059761;23939.7772361902;22.1318779618794;218.813972296973;Inf;Inf;10479
329.508992086176;24132.0787473926;28;244.147837905097;23892.977003741;22.0974133284915;218.599986293417;Inf;Inf;10479
329.249718566192;24219.4192975332;29;244.236928146307;23975.6988919601;22.1014446652841;218.97807603484;Inf;Inf;10479
329.039305159101;24219.4192975332;29;244.166107187952;23975.6988919601;22.0982400741757;218.97807603484;Inf;Inf;10479
328.582821806196;23516.1172012331;30;244.06873594715;23284.7586119404;22.0938333453998;215.799715532437;Inf;Inf;10479
328.41079249275;23516.1172012331;30;244.05131298271;23284.7586119404;22.0930447418508;215.799715532437;Inf;Inf;10479
327.804272034279;22638.7006180969;33;243.84484763305;22463.7826663741;22.0836974998776;211.961235448249;Inf;Inf;10479
326.855251439466;21813.6656547036;35;243.474868761748;21633.5487307045;22.0669376562199;208.00744568743;Inf;Inf;10479
326.398969047354;17837.9110099933;36;243.050138468574;17680.3394282812;22.0476818948648;188.044353429085;Inf;Inf;10479
325.857002433441;17837.9110099933;36;243.185673927653;17680.3394282812;22.0538284172002;188.044353429085;Inf;Inf;10479
325.591853521519;16496.7099131227;38;242.804692252027;16343.3112651987;22.036546564833;180.794420628507;Inf;Inf;10479
323.464397475035;16897.4716705219;39;241.048787074814;16736.8278232472;21.9567204780138;182.958070733418;Inf;Inf;10479
323.238202840719;16897.4716705219;39;240.86873936404;16736.8278232472;21.9485188276585;182.958070733418;Inf;Inf;10479
323.069261807871;30669.1796621713;41;241.051005471811;30948.9552224288;21.9568215127696;248.792906741446;Inf;Inf;10479
321.233047264755;24936.0519275499;43;242.262123876341;25197.1699651087;22.0119114970209;224.486836875166;Inf;Inf;10479
320.607497154775;24936.0519275499;43;242.215260291651;25197.1699651087;22.0097823838243;224.486836875166;Inf;Inf;10479
320.166804492266;24589.3585689833;44;241.759460621288;24755.4298132483;21.9890636736214;222.510358470109;Inf;Inf;10479
317.996790834993;24589.3585689833;44;241.55991723772;24755.4298132483;21.9799871354703;222.510358470109;Inf;Inf;10479
317.874666735829;20832.2373607075;44;241.361649862391;20935.7185712156;21.9709649247543;204.625113665042;Inf;Inf;10479
